city,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Qingdao,2391,2548,3503,3925,78716,100152,102229,98748,161225,172904,259345,270133,285793,241427,385919,451472,668363
Zibo,4866,7088,7640,6701,28444,34313,37019,48373,64373,79820,93916,82590,99933,105312,97567,110275,154076
Zaozhuang,933,1134,1362,1544,6920,8376,12313,15469,17363,19146,17793,18973,12482,16715,21150,28093,37152
Dongying,952,16011,16316,2016,12079,15607,17894,20198,21706,32217,50338,52883,26737,29646,64341,47462,57537
Yantai,2077,2231,2659,3634,35410,41066,52757,106313,127111,131381,148168,166419,186406,233111,243319,289873,298557
Weifang,1629,1985,2757,2974,36847,44433,55431,72157,91534,125780,153705,133797,138059,166100,197004,201010,216735
Jining,1487,1702,2153,2858,25917,36155,39110,52726,57470,67821,77989,80687,80339,76727,72089,74910,86927
Taian,1413,1444,1742,2358,16443,26781,22272,28131,27605,34129,38756,39537,41214,34247,41736,32054,40196
Weihai,671,694,883,1266,29323,36310,38934,56150,56267,69604,86661,96746,122039,127987,150309,127487,127260
Rizhao,461,491,585,1098,4803,4467,6273,9364,12190,13690,17913,20052,22793,25252,41375,73908,91396
Linyi,1677,2072,2492,2777,16782,19702,21937,32862,30355,41778,47713,46000,48327,72525,45710,43679,58571
Dezhou,1599,1753,2252,2777,9699,8979,14179,20095,26049,32909,54229,42081,75073,59565,51520,137460,114850
Liaocheng,1337,2126,1912,2352,11141,14364,16418,20733,21411,32056,36398,36887,19775,13190,18316,14272,20881
Binzhou,443,567,758,1062,11164,12000,13415,23966,28282,39752,42252,53697,52655,62596,96054,101917,130977
Heze,563,579,999,1152,11842,14048,15096,18478,24126,41366,35648,40313,23995,29715,22065,19956,17844
Zhengzhou,1896,2238,2334,3251,41155,45105,55183,95047,101605,152706,172649,144942,178600,217190,339602,361748,633557
Kaifeng,595,674,637,910,6721,8620,10251,12198,15221,18596,22106,24347,25394,31111,33187,44454,66753
Luoyang,585,864,1079,1203,23785,30751,36699,33101,59624,69057,75275,84721,88889,93307,135537,190121,259827
Pingdingshan,672,821,973,1233,11480,13279,15100,16380,22292,24834,26619,28090,21980,30406,37436,51842,58260
Anyang,1148,1284,1336,1502,13457,18821,22014,24712,33252,35991,41174,41900,38643,41910,43210,46771,47624
Hebi,275,327,385,767,2913,4710,3803,5101,6461,7028,8722,10141,10150,12709,16940,26432,35811
Xinxiang,672,631,800,879,14296,15848,18881,25792,25373,29536,36390,39964,31776,51131,84934,95049,112710
Jiaozuo,783,842,1096,1133,12588,14860,23365,28113,32571,32829,38334,41304,33380,31726,35776,42445,47970
Puyang,1021,1149,1563,1903,7023,7728,9845,10898,14327,18385,21983,23160,21348,23007,23553,20436,26352
Xuchang,663,821,1069,2266,8676,10449,12323,13031,16354,21039,28887,41865,27905,28343,50219,64666,73373
Luohe,496,519,547,837,2917,4511,4033,4490,5697,5956,9446,11240,8975,11716,13233,46703,55684
Sanmenxia,272,244,484,530,6495,10738,12007,16261,19240,22354,25631,28669,18905,20768,28723,37625,51508
Nanyang,955,1045,1354,2022,17355,28608,28861,35255,43126,51855,61372,66241,61702,70715,83424,99620,120479
Shangqiu,768,894,1082,1453,7011,9118,10351,12405,15847,18658,20104,22843,19306,19428,54374,70024,92806
Xinyang,878,1020,1190,1410,6852,7838,9129,11600,14102,18281,17703,20183,19989,21613,22204,22911,24110
Zhoukou,879,792,982,1033,7659,9704,10180,13843,15167,26306,30490,27769,27009,25997,33729,38983,43637
Zhumadian,947,1002,1179,1441,9700,10856,14155,18033,21446,27966,33363,35876,33006,42093,56795,61273,71186
Wuhan,9052,6549,8390,10751,72118,86071,101520,117036,152687,206490,315967,568956,681890,864219,1129906,1344072,1764277
Huangshi,430,512,590,752,894,1071,1255,10540,14780,17057,17197,19878,24380,40684,31241,47287,48485
Shiyan,298,330,449,531,4830,4878,6862,9824,20534,25447,31591,35906,35058,33972,42705,46469,60996
